# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);-29.900
# Site longitude (positive means East);22.300
# Site altitude (m);1076
# Date beginning;2018-06-04
# Date end;2018-06-06
# Time reference (hour);UT
# Summarization (period of integration);15 minutes (min)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2018-06-04;00:15;277.88;91.10;908.73;6.23;119.83;0.000007;0.000000;0.000000;0.0000
2018-06-04;00:30;277.75;91.95;908.70;6.19;118.35;0.000009;0.000000;0.000000;0.0000
2018-06-04;00:45;277.63;92.63;908.66;6.17;117.12;0.000022;0.000000;0.000000;0.0000
2018-06-04;01:00;277.52;93.12;908.61;6.16;116.14;0.000047;0.000000;0.000000;0.0000
2018-06-04;01:15;277.42;93.62;908.56;6.14;115.16;0.000071;0.000000;0.000000;0.0000
2018-06-04;01:30;277.32;94.12;908.51;6.13;114.17;0.000096;0.000000;0.000000;0.0000
2018-06-04;01:45;277.23;94.41;908.46;6.12;113.37;0.000152;0.000000;0.000000;0.0000
2018-06-04;02:00;277.15;94.51;908.41;6.10;112.76;0.000239;0.000000;0.000000;0.0000
2018-06-04;02:15;277.07;94.60;908.36;6.07;112.14;0.000327;0.000000;0.000000;0.0000
2018-06-04;02:30;277.00;94.69;908.31;6.05;111.52;0.000414;0.000000;0.000000;0.0000
2018-06-04;02:45;276.94;94.62;908.30;6.03;111.24;0.000576;0.000000;0.000000;0.0000
2018-06-04;03:00;276.89;94.38;908.33;6.01;111.32;0.000812;0.000000;0.000000;0.0000
2018-06-04;03:15;276.85;94.14;908.37;5.99;111.39;0.001047;0.000000;0.000000;0.0000
2018-06-04;03:30;276.80;93.89;908.40;5.98;111.47;0.001283;0.000000;0.000000;0.0000
2018-06-04;03:45;276.77;93.63;908.49;5.99;111.53;0.001608;0.000000;0.000000;0.0000
2018-06-04;04:00;276.74;93.35;908.64;6.05;111.56;0.002021;0.000000;0.000000;0.0000
2018-06-04;04:15;276.72;93.07;908.78;6.11;111.60;0.002434;0.000000;0.000000;0.0000
2018-06-04;04:30;276.70;92.79;908.92;6.17;111.63;0.002847;0.000000;0.000000;0.0000
2018-06-04;04:45;276.67;92.57;909.07;6.23;111.34;0.003077;0.000000;0.000000;0.0000
2018-06-04;05:00;276.63;92.41;909.22;6.28;110.73;0.003124;0.000000;0.000000;0.0000
2018-06-04;05:15;276.59;92.26;909.37;6.33;110.13;0.003170;0.000000;0.000000;0.0000
2018-06-04;05:30;276.56;92.10;909.52;6.38;109.53;0.003216;0.000000;0.000000;0.3317
2018-06-04;05:45;276.62;91.38;909.65;6.47;108.48;0.003028;0.000000;0.000000;4.1104
2018-06-04;06:00;276.79;90.10;909.75;6.58;107.01;0.002604;0.000000;0.000000;9.5799
2018-06-04;06:15;276.96;88.84;909.84;6.70;105.58;0.002180;0.000000;0.000000;16.0603
2018-06-04;06:30;277.13;87.60;909.94;6.82;104.20;0.001756;0.000000;0.000000;23.4839
2018-06-04;06:45;277.48;85.43;910.02;6.92;102.70;0.001365;0.000000;0.000000;32.5816
2018-06-04;07:00;278.02;82.43;910.06;7.00;101.07;0.001006;0.000000;0.000000;43.7129
2018-06-04;07:15;278.55;79.54;910.11;7.09;99.47;0.000647;0.000000;0.000000;56.0917
2018-06-04;07:30;279.09;76.76;910.15;7.18;97.92;0.000288;0.000000;0.000000;69.5730
